n,slice,paper_statements,cited_wrapper_file,cited_wrapper_line,cited_wrapper_name,in_import_closure,why_out_of_cone,in_cone_carriers,carrier_vs_paper,changed,note,cited_at
51,C,7.8 (Corollary (covariance expansion)),NavierStokes/SignedCovariance.lean,409,NavierStokes.SignedCovariance.physical_signed_cross_covariance,True,DEAD,NavierStokes/SignedCovariance.lean:312 cross_reconstruct_component; :623 increment_wave_class; :569 signed_quotient_class,EXACT in substance / NO SINGLE COUNTERPART - the pointwise reconstruction (7.41) and the class bounds (7.42) are in cone separately; the assembled and physical covariance identities are not,SAME (the first pass already said `no one declaration states (7.41)+(7.42) together`),The consumer chain terminates in NavierStokes/CorrectionStep.lean:7716 nativeSignedStage_mean_debt (takes the unsupplied `ActualWaveRegularity.NativeData`) and CorrectionStep.CycleParameters.mean_gain_from_waves (takes the unsupplied `DefectIncrementBounds.RankGeometry`).,align-C.md:37
52,C,8.5 (Corollary (covariance targets)),NavierStokes/SignedStressPrimitive.lean,1014,NavierStokes.SignedStressPrimitive.axial_bump_identity,True,WRAPPER,NavierStokes/SignedStressPrimitive.lean:506 bump_improvedClass_of_moment_identity; NavierStokes/StateMomentBalances.lean:1081 state_angular_bump_improvedClass; :1096 state_axial_bump_improvedClass,EXACT - the generic bump-order lemma and the state-level angular/axial improved-class theorems in cone carry 8.5's content,SAME,"The four cited bump identities (:1014, :1030, :1047, :1066) are out of cone, as are the two at :991; the in-cone consumers are the StateMomentBalances versions.",align-C.md:42
53,B,A.1 (Lemma),NavierStokes/SmoothExponentialMomentMatrix.lean,80,NavierStokes.SmoothExponentialMomentMatrix.Family.matrix_inverse_contDiffOn,False,WRAPPER,NavierStokes/PowerMomentMatrix.lean:261 bumpMomentMatrix_det_ne_zero,NO IN-CONE COUNTERPART for the smooth-inverse half of A.1 (matrix inverse ContDiffOn in the parameter),"CHANGED (LEAN STRONGER -> invertibility EXACT, smooth-inverse half out of cone)","SmoothExponentialMomentMatrix.lean 0/8, outside the seeds' import closure.",align-B.md:21
54,B,A.1 (Lemma),NavierStokes/SmoothPowerMomentMatrix.lean,178,NavierStokes.SmoothPowerMomentMatrix.Family.matrix_inverse_contDiffOn,False,WRAPPER,NavierStokes/PowerMomentMatrix.lean:261 bumpMomentMatrix_det_ne_zero,NO IN-CONE COUNTERPART for the smooth-inverse half of A.1,CHANGED (as row 53),"SmoothPowerMomentMatrix.lean 0/12, outside the seeds' import closure.",align-B.md:21
55,A,4.7 (1st) (Lemma),NavierStokes/SmoothPowerMomentMatrix.lean,197,NavierStokes.SmoothPowerMomentMatrix.Family.compact_inverse_jets_bound,False,WRAPPER,NavierStokes/PowerMomentMatrix.lean:261 bumpMomentMatrix_det_ne_zero; :29 expSum,NO IN-CONE COUNTERPART for 4.7(1st)'s `inverse and every fixed parameter jet bounded on a compact family` clause,CHANGED (LEAN STRONGER -> NO IN-CONE COUNTERPART for the jet-bound clause),"Only consumer is the exponential twin at SmoothExponentialMomentMatrix.lean:98, also display-only.",align-A.md:36
56,A,4.2 (Proposition),NavierStokes/StressAlgebra.lean,316,NavierStokes.StressAlgebra.stressFree_angular_lag_algebra,True,WRAPPER,(none found),"NO IN-CONE COUNTERPART - the stress-free substitution algebra of (7)->(8) has no in-cone statement, and neither does the 4.2 residual identity it feeds (row 24)",CHANGED (EXACT -> NO IN-CONE COUNTERPART),"Zero consumers; its in-file siblings :324, :330, :338 are also out of cone, while :238/:255 (Lemma 4.3) are in cone.",align-A.md:29
57,B,A.10 (Prop),NavierStokes/TerminalEdgeFactor.lean,1595,NavierStokes.TerminalEdgeFactor.physicalStress_factorization,True,WRAPPER,NavierStokes/TerminalEdgeFactor.lean:1467 profile_uniform_cone; :1562 profile_relative_cone; :1440 profileConeGap_zero; NavierStokes/TerminalCone.lean:398 profile_cone_margin; :452 profile_full_true_cone,EXACT on A.10's cone/margin content (including the closed endpoint delta = 0); NO IN-CONE COUNTERPART for the physical (q-scaled) stress factorization (A.48)-(A.50) and the (A.51) jet bound,"CHANGED (EXACT -> EXACT on the cone half, factorization half out of cone)","The three consumers (:1607 physicalStress_jets, :1618 physicalStress_contDiff, :1631 physicalStress_of_nonpos) are all out of cone.",align-B.md:30
58,B,A.10 (Prop),NavierStokes/TerminalEdgePaper.lean,16,NavierStokes.TerminalEdgePaper.profileStress_lower_bound,False,WRAPPER,NavierStokes/TerminalEdgeFactor.lean:1467 profile_uniform_cone,EXACT - the (A.51) lower bound is literally `obtain := profile_uniform_cone` and that in-cone theorem already carries it,SAME,"NavierStokes/TerminalEdgePaper.lean has 1 declaration, out of cone and outside the import closure; zero consumers.",align-B.md:30
59,C,6.2 (Lemma (common torus)),NavierStokes/TorusCoverDegree.lean,208,NavierStokes.TorusCoverDegree.card_fiber,False,WRAPPER,NavierStokes/TorusAverages.lean:94 integral_torusCovering_iterate,NO IN-CONE COUNTERPART for the 14^d fibre count and the sheetwise bijection; the in-cone half is only the Haar-agreement (6.19),CHANGED (LEAN STRONGER / partly routed around -> NO IN-CONE COUNTERPART for the counting half),NavierStokes/TorusCoverDegree.lean is 0/35 in cone and outside the seeds' import closure; zero consumers.,align-C.md:25
60,C,6.2 (Lemma (common torus)),NavierStokes/TorusCoverLattice.lean,59,NavierStokes.TorusCoverLattice.indexHom_range_index,False,WRAPPER,NavierStokes/TorusAverages.lean:94 integral_torusCovering_iterate,"NO IN-CONE COUNTERPART - the lattice index 14 is used only by the counting half, which is out of cone",CHANGED (as row 59),"TorusCoverLattice.lean 0/17 in cone, outside the import closure.",align-C.md:25
61,A,4.11 (Lemma),NavierStokes/TrueConeLoop.lean,765,NavierStokes.TrueConeLoop.exists_compact_trueCone_family_with_margin,True,WRAPPER,NavierStokes/TrueConeLoop.lean:658 family_pointwise_properties; :714 family_joint_contDiffOn; :459 exists_family_choices; :372 constructed_trueCone; :346 constructed_means,"LEAN WEAKER - the in-cone carrier gives periodicity, the two prescribed means, joint smoothness and the strict `InTrueCone` at every phase, but NOT the uniform cone margin: `HasConeMargin` (:283) occurs nowhere in cone","CHANGED (LEAN WEAKER (hypothesis only) -> LEAN WEAKER, and now on the conclusion too)","Its single consumer is TrueConeLoopPaper.lean:21, in the display layer.",align-A.md:41
62,A,4.5 (2nd) (Lemma),NavierStokes/UniformCone.lean,148,NavierStokes.UniformCone.compact_equation_eleven,True,WRAPPER,NavierStokes/UniformCone.lean:176 compact_equation_eleven_gap; :62 compact_normalized_cone,"LEAN STRONGER - the in-cone `_gap` version is the additive-gap strengthening the first pass called the extra, so the strong form is the one on the headline route",SAME (LEAN STRONGER),"Only consumer is SeedConePaper.lean:48, in the display layer.",align-A.md:34
63,C,8.2 (Lemma (compact radial primitive)),NavierStokes/UniformFourierAlias.lean,1134,NavierStokes.UniformFourierAlias.meanClass_alias_superflat,True,WRAPPER,NavierStokes/UniformFourierAlias.lean:1193 real_exactAlias_finiteJets,"EXACT - the carrier gives, for every jet order m and every gain order p, the bound K*C*|M|^{-p} with no uniformity in p, which is exactly (8.8) as the paper states it; only the epsilon^N `superflat` repackaging is out of cone",SAME,"All five `*_alias_superflat` variants (:1134, :1230, :1256, :1278, :1309) are out of cone; the in-cone carrier is one level below them.",align-C.md:39
64,B,A.2 (Lemma),NavierStokes/UniformQuadraticBranch.lean,131,NavierStokes.UniformQuadraticBranch.exists_smooth_small_branch,False,WRAPPER,NavierStokes/UniformAngularReset.lean:273 exists_smooth_solver_on_ball,LEAN WEAKER - the in-cone smooth solver is on a ball in the datum with a C0 bound; the uniform-over-S smooth branch with the ||c|| <= 2*nu*delta bound and ball uniqueness is display-only,CHANGED (EXACT -> LEAN WEAKER),"UniformQuadraticBranch.lean 0/4 in cone, outside the seeds' import closure.",align-B.md:22
